mode,sample,label,level_numeric,n_reads,ref_len,n_sites_used,mean_depth,mean_shannon,mean_norm_shannon,mean_pi,n_variable_sites_1pct,n_variable_sites_2pct,n_variable_sites_5pct,n_variable_sites_20pct
percent,barcode68,0p5pct,0.5,163,1211,1210,126.47272727272727,0.08839987983061717,0.013055317813512234,0.028468904702547402,308,196,81,14
percent,barcode68,10pct,10.0,3173,1211,1210,2503.219008264463,0.0946339016570065,0.008772011235191635,0.02690944342093297,296,156,52,15
percent,barcode68,1pct,1.0,316,1211,1210,243.36859504132232,0.08317683746225699,0.010791448203813057,0.025354144429421067,285,157,62,15
percent,barcode68,20pct,20.0,6323,1211,1210,4979.70826446281,0.09497287439992072,0.008048219375316875,0.026711986691124498,288,151,51,15
percent,barcode68,2pct,2.0,646,1211,1210,506.25041322314047,0.09301972550162885,0.011043807603446166,0.02779597341709839,296,185,67,15
percent,barcode68,40pct,40.0,12811,1211,1210,10095.935537190082,0.09549740394375515,0.007462376138663911,0.026707575684959836,281,150,49,15
percent,barcode68,5pct,5.0,1583,1211,1210,1247.0685950413224,0.09426617310824627,0.009701320252051554,0.027169703783663447,303,159,60,15
percent,barcode70,0p5pct,0.5,99,1210,1210,79.62561983471075,0.09373596258151089,0.018227358854496455,0.034849354866511285,491,217,81,44
percent,barcode70,10pct,10.0,1942,1210,1210,1577.3677685950413,0.11906232947086012,0.012126981588613377,0.037261876886004054,349,210,91,30
percent,barcode70,1pct,1.0,172,1210,1210,137.86446280991734,0.09521671394226615,0.015202973737493632,0.03327474333062107,305,180,81,29
percent,barcode70,20pct,20.0,3861,1210,1210,3134.80826446281,0.1210785773154502,0.011242946577414824,0.037535574982484936,343,214,91,29
percent,barcode70,2pct,2.0,349,1210,1210,280.72314049586777,0.10143411413912434,0.013886266442645479,0.033529302699458405,307,187,88,29
percent,barcode70,40pct,40.0,7784,1210,1210,6302.2553719008265,0.12601044481784754,0.010655284366664044,0.03897569940291867,349,224,99,30
percent,barcode70,5pct,5.0,966,1210,1210,781.9413223140496,0.1206506765750529,0.013623274179791851,0.03848317504867986,352,235,95,30
percent,barcode71,0p5pct,0.5,164,1130,1129,143.81576616474757,0.07898348772497676,0.011123133123319407,0.024024278527285895,259,180,58,6
percent,barcode71,10pct,10.0,2709,1130,1129,2364.448184233835,0.080449267351509,0.00721137266300603,0.021600286747986377,213,131,32,6
percent,barcode71,1pct,1.0,322,1130,1129,281.00531443755534,0.08245111158290284,0.010199911603195784,0.024022991686498584,276,158,57,6
percent,barcode71,20pct,20.0,5371,1130,1129,4694.537643932684,0.0786211320855693,0.0064771346770093495,0.020841396445685004,208,124,30,5
percent,barcode71,2pct,2.0,583,1130,1129,508.5606731620903,0.08344457756848737,0.009341793172375127,0.023652213224189065,239,152,58,6
percent,barcode71,40pct,40.0,10589,1130,1129,9254.075287865367,0.07637707725007967,0.005821991555633329,0.020094153025574966,199,119,29,5
percent,barcode71,5pct,5.0,1402,1130,1129,1228.474756421612,0.07765637456296569,0.007592939797541326,0.021043992051228956,215,127,32,6
percent,barcode72,0p5pct,0.5,173,1199,1129,151.7617360496014,0.05873261033652889,0.008501222673409744,0.016387856022721952,235,93,20,2
percent,barcode72,10pct,10.0,3871,1199,1173,3338.843137254902,0.08104207085297893,0.00742346102794838,0.02149632054329121,235,125,39,4
percent,barcode72,1pct,1.0,358,1199,1143,313.9483814523185,0.07465133184637615,0.009146835388447173,0.02004614193283941,225,116,31,2
percent,barcode72,20pct,20.0,7816,1199,1198,6605.40734557596,0.07885593730697668,0.007150745987243239,0.020890647493694178,220,114,32,5
percent,barcode72,2pct,2.0,734,1199,1170,634.7982905982906,0.07356861316410636,0.008378782622296709,0.019613556980585818,216,108,28,2
percent,barcode72,40pct,40.0,15800,1199,1198,13368.156093489148,0.07860987069026922,0.006609101404223471,0.02057398613797095,222,107,31,4
percent,barcode72,5pct,5.0,1883,1199,1170,1632.825641025641,0.07904861384944067,0.007991414060075537,0.021046162997389192,234,124,36,4
percent,barcode73,0p5pct,0.5,21,1219,1126,16.174067495559502,0.1977927979700713,0.05006048663173652,0.08913118669303746,349,349,339,121
percent,barcode73,10pct,10.0,612,1219,1219,453.72436423297785,0.2106977978186676,0.026207500966083763,0.07565595087276389,527,403,250,73
percent,barcode73,1pct,1.0,48,1219,1128,38.27836879432624,0.1885876506039147,0.03623206987129398,0.07570751730387557,463,463,238,79
percent,barcode73,20pct,20.0,1223,1219,1219,912.9983593109106,0.21599368388104395,0.023846673418758412,0.07661913940671858,536,408,255,73
percent,barcode73,2pct,2.0,111,1219,1217,80.66639276910435,0.18278647170403883,0.03227200805139426,0.07060599099651652,591,384,247,75
percent,barcode73,40pct,40.0,2482,1219,1219,1847.18293683347,0.21702936831588593,0.021587499375957775,0.07641902723845986,535,411,246,73
percent,barcode73,5pct,5.0,318,1219,1219,232.68580803937652,0.202189011037015,0.02832888503253307,0.07339580447083277,512,399,262,73
percent,barcode75,0p5pct,0.5,66,1129,1085,56.10967741935484,0.11041515832525811,0.01900678909597653,0.03723350490593757,439,224,133,6
percent,barcode75,10pct,10.0,1129,1129,1129,955.7271922054916,0.135209232304521,0.014143448178538227,0.04250007503256193,371,247,129,14
percent,barcode75,1pct,1.0,118,1129,1125,98.104,0.1291941350955324,0.02165376033568081,0.044535636881162105,438,271,141,17
percent,barcode75,20pct,20.0,2220,1129,1129,1910.9964570416298,0.13539671953309648,0.01275799627708634,0.0418982387177175,357,248,126,12
percent,barcode75,2pct,2.0,242,1129,1129,206.39503985828168,0.12720993999363708,0.017736438040948686,0.04161883662902014,390,259,130,13
percent,barcode75,40pct,40.0,4447,1129,1129,3829.215234720992,0.13656638311374716,0.011757224699114357,0.04207070840362972,355,245,127,13
percent,barcode75,5pct,5.0,585,1129,1129,496.82196634189546,0.13483649347306517,0.01570808895948082,0.04311999064153764,381,260,134,13
percent,barcode76,0p5pct,0.5,222,1145,1143,190.43832020997377,0.08054410841937945,0.0107130865221432,0.024753662645462735,280,144,40,18
percent,barcode76,10pct,10.0,4945,1145,1144,4304.112762237763,0.08727422042918444,0.007312904038567121,0.02438837224096678,218,111,33,12
percent,barcode76,1pct,1.0,486,1145,1144,421.15646853146853,0.07911149434732599,0.009124995455437889,0.023273576689404947,234,122,33,11
percent,barcode76,20pct,20.0,9945,1145,1144,8644.285839160839,0.08605848054677824,0.006634540497014119,0.02395547768956164,212,110,32,11
percent,barcode76,2pct,2.0,1004,1145,1144,874.5332167832167,0.08098560964953348,0.008403431753646657,0.02321838009454742,216,110,32,11
percent,barcode76,40pct,40.0,20175,1145,1144,17534.702797202797,0.08663172782442612,0.0061979388546658,0.024078206338196618,212,109,34,12
percent,barcode76,5pct,5.0,2469,1145,1144,2150.2805944055945,0.08515907236945759,0.007798707052305085,0.02394781399052322,212,109,31,12
percent,barcode78,0p5pct,0.5,53,1130,1128,44.670212765957444,0.17563539557670477,0.03201520071920851,0.0686473878148016,480,471,208,79
percent,barcode78,10pct,10.0,971,1130,1129,784.4100974313552,0.20293195139653558,0.021124540667699056,0.07262132047170339,440,337,202,85
percent,barcode78,1pct,1.0,102,1130,1128,84.83865248226951,0.18633620808310689,0.029037994932627334,0.06914606291565888,626,379,202,71
percent,barcode78,20pct,20.0,1935,1130,1129,1579.3604960141718,0.20228929109927515,0.019045086302397606,0.07173592138733728,430,344,198,83
percent,barcode78,2pct,2.0,196,1130,1128,159.72429078014184,0.1985264562595651,0.027117640807152066,0.07282083343176962,499,360,204,82
percent,barcode78,40pct,40.0,3916,1130,1130,3174.4477876106193,0.20321842209880886,0.017479769486669218,0.07185048946011233,434,342,197,84
percent,barcode78,5pct,5.0,483,1130,1129,390.76173604960144,0.20212204780963233,0.023501782944085413,0.0735299904993236,461,347,209,89
percent,barcode81,0p5pct,0.5,168,1292,1290,124.33875968992248,0.10073571849670317,0.015737629308765533,0.03278348701190033,390,239,104,16
percent,barcode81,10pct,10.0,3592,1292,1292,2682.267027863777,0.09884594422372948,0.00925182410957307,0.02796220219338446,316,187,75,10
percent,barcode81,1pct,1.0,365,1292,1292,267.98993808049534,0.09544704583122603,0.012411243250842663,0.029197908134915896,328,197,94,12
percent,barcode81,20pct,20.0,7295,1292,1292,5453.505417956656,0.09992938219690842,0.0085657338624238,0.02799474875083115,319,177,76,10
percent,barcode81,2pct,2.0,705,1292,1292,523.0495356037152,0.09429416493125409,0.01091688143987805,0.027971955395079556,319,200,82,11
percent,barcode81,40pct,40.0,14528,1292,1292,10848.66640866873,0.09989079391563402,0.007889887288957158,0.027850031549559718,313,170,72,10
percent,barcode81,5pct,5.0,1787,1292,1292,1328.7453560371516,0.09932128997653204,0.010293434022258631,0.028535424502486827,334,190,79,10
percent,barcode82,0p5pct,0.5,133,1226,1225,106.35265306122449,0.10318055436225844,0.01602695867148216,0.03603124799032958,296,202,107,34
percent,barcode82,10pct,10.0,2790,1226,1225,2223.6326530612246,0.13123267947519152,0.012566177619514457,0.042133289632253254,367,243,125,35
percent,barcode82,1pct,1.0,266,1226,1225,211.35918367346937,0.11384901192681122,0.015049427692880792,0.038486737388887006,325,213,112,35
percent,barcode82,20pct,20.0,5581,1226,1226,4440.761827079935,0.1312659315553916,0.011457172973094428,0.04180771424581968,349,232,124,35
percent,barcode82,2pct,2.0,568,1226,1225,454.49061224489793,0.12622634995567833,0.015385108802064666,0.042168295575871276,346,244,140,34
percent,barcode82,40pct,40.0,11190,1226,1226,8893.281402936378,0.13032901101295674,0.010401062912570036,0.041217002492726966,340,227,120,34
percent,barcode82,5pct,5.0,1428,1226,1225,1142.795918367347,0.12952993892775042,0.01367512639089562,0.04201284785296436,355,243,130,35
percent,barcode83,0p5pct,0.5,57,1209,1203,44.438902743142144,0.14353930104232882,0.03243511758055734,0.05948985440936454,459,350,188,65
percent,barcode83,10pct,10.0,1351,1209,1209,1049.6947890818858,0.17373864813830506,0.018847185412731504,0.06000805014574689,452,312,181,55
percent,barcode83,1pct,1.0,135,1209,1209,105.14557485525228,0.15510702474408075,0.026893963826951608,0.05906004794444086,436,312,183,67
percent,barcode83,20pct,20.0,2682,1209,1209,2092.171215880893,0.17668925187210133,0.017383179920928065,0.06042585469391331,455,318,184,56
percent,barcode83,2pct,2.0,265,1209,1209,203.87344913151364,0.16575360433499528,0.02443761429072347,0.060792192775172865,448,309,191,62
percent,barcode83,40pct,40.0,5339,1209,1209,4158.400330851944,0.17911483873194464,0.016070769992458902,0.06100374187304389,456,313,181,58
percent,barcode83,5pct,5.0,684,1209,1209,531.7923904052936,0.16857641792132766,0.02061557819615465,0.058990640298611084,434,301,180,54
percent,barcode84,0p5pct,0.5,177,1194,1194,143.42881072026802,0.1028241310515721,0.01649296829216861,0.03512222595482177,352,203,95,25
percent,barcode84,10pct,10.0,3678,1194,1194,2961.6725293132326,0.10550111469425254,0.009618986674276832,0.031253901927030044,290,177,83,17
percent,barcode84,1pct,1.0,378,1194,1194,307.90201005025125,0.09909369619616076,0.013291928220477334,0.031721282195681495,293,189,83,20
